Disease,Disease Details,Filter m/f,Country,Year2000,LEYear2000,GDPYear2000,Year2001,LEYear2001,GDPYear2001,GDPYear2002,Year2002,LEYear2002,GDPYear2003,Year2003,LEYear2003,GDPYear2004,Year2004,LEYear2004,GDPYear2005,Year2005,LEYear2005,GDPYear2006,Year2006,LEYear2006,GDPYear2007,Year2007,LEYear2007,GDPYear2008,Year2008,LEYear2008,GDPYear2009,Year2009,LEYear2009,GDPYear2010,Year2010,LEYear2010,GDPYear2011,Year2011,LEYear2011,GDPYear2012,Year2012,LEYear2012,GDPYear2013,Year2013,LEYear2013,GDPYear2014,Year2014,LEYear2014,GDPYear2015,Year2015,LEYear2015,GDPYear2016,Year2016,LEYear2016
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Sweden,69,79.9,259580,86,79.9,264227.8,272994.5,96,80.3,281923.5,57,80.6,301748.3,49,80.7,306709.2,58,81,339972.6,64,81.1,371081.7,61,81.3,385875.9,62,81.5,369089,59,81.6,390766.2,34,81.9,413450.9,45,81.8,425753.8,38,82,438479.7,42,82.3,449945.5,29,82.3,468629.4,24,,491091.4,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Switzerland,45,80.4,256298.8,38,80.6,266507.7,274505.1,33,80.6,276031,27,81.2,289199.1,28,81.4,300888.8,29,81.7,336415,33,82,373532.8,28,82.2,400107.8,33,82.3,399834.5,26,82.6,414217.9,27,82.8,442451.3,24,82.8,460544.8,22,82.9,483647.4,19,83.3,501374.1,,83,517646.7,,,532594.5,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Turkey,,71.5,605613.4,,71.9,592897.6,607794.1,,72.3,634676.8,,72.7,728257,,73.1,807227.2,,73.4,937107.9,,73.7,1032837.5,,73.9,1130486.5,,74.1,1105889.1,808,74.3,1262796.8,710,74.6,1443295.2,719,74.6,1539111.5,622,78,1690856.1,580,78,1780288.8,,78,1882755.9,,,1977726.4,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,United Kingdom,,78.2,1533015.1,494,78.3,1617453.5,1699798.7,503,78.4,1783357.3,509,79,1896674.3,447,79.2,1949434.7,452,79.5,2089011.4,476,79.7,2155566.8,386,79.8,2229260.5,433,80.4,2142488.1,398,80.6,2243316.2,364,81,2306167.3,326,81,2387347.2,323,81.1,2502075.5,340,81.4,2630349.9,,81,2720256,,,2812892.2,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,United States,901,76.9,10284779,875,77,10621824,10977514,892,77.1,11510670,791,77.6,12274928,739,77.6,13093726,719,77.8,13855888,694,78.1,14477635,621,78.1,14718582,642,78.5,14418739,576,78.6,14964372,609,78.7,15517926,572,78.8,16155254.8,536,78.8,16691517,589,78.9,17393103,515,78.8,18036648,,,18569100,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Brazil,5999,70.5,1575642.2,5909,70.8,1638266.2,1714201.3,5606,71.2,1768321,5527,71.5,1921619,5535,71.8,2046960.4,5285,72.1,2193408,5327,72.4,2388517,5185,72.7,2559422.3,5302,73,2575605.3,5243,73.3,2803344.1,5077,73.6,2974955,4964,73.8,3091549.1,4835,74.1,3239945.7,5023,74.4,3340163,4833,74.7,3244433.5,,,3186016.8,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Colombia,1215,71.3,266073.6,1325,71.5,276703.3,287986,1328,71.8,305237.7,1301,72,330356.9,1247,72.3,357035.3,1106,72.5,392651.5,1102,72.7,430917.8,1200,72.9,454954.4,1169,73.1,465980.3,1096,73.3,490405.4,971,73.5,533513,902,73.6,565312.9,965,73.8,602530.9,1006,74,638915.6,,74.2,664316.6,,,691903,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Costa Rica,78,77.6,27926.8,79,77.7,29875.6,31527.5,80,77.8,34278.4,79,78,37274.2,74,78.1,40858.5,65,78.2,45991,61,78.3,51609,40,78.5,54588.1,56,78.6,55196.1,41,78.7,57881.8,47,78.9,61633.6,60,79.1,66078,49,79.2,68410.1,39,79.4,72819.8,44,79.6,79312.9,,,,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Lithuania,365,71.7,29575.1,353,71.8,32880.1,36132.9,338,72.1,41211.3,340,72,44039.4,309,71.3,48263.2,367,71.1,53933.9,369,70.9,61678.7,352,71.8,66344.1,347,72.9,57452.9,266,73.3,62347.6,222,73.7,69205.4,216,74,73672.2,256,74.1,78949.7,211,74.7,82558.8,228,74.5,83989.2,189,,88052.9,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Russia,29800,65.6,1066173.6,28850,65.3,1145987.8,1244453.4,31197,65.2,1427741.9,31405,65.6,1572272.1,30840,65.7,1809836.7,32220,66.9,2275993.7,28474,67.7,2535993.2,26114,68.1,3070068.1,25388,68.8,2952650.1,23859,69,3123315.8,21829,69.8,3441692.1,20243,70.2,3625384.7,,70.7,3656647.9,,70.9,3721984.7,,71.3,3470238.6,,,3432116.3,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,South Africa,42590,54.6,346205.6,51276,53.4,363656.3,382901.8,60846,52.5,402054.2,68090,51.9,431924.4,70828,51.6,469348.6,74382,51.6,510786.8,77461,52,552490.3,77158,52.6,581303.8,75379,53.5,576709.6,69488,54.4,601497.9,63355,55.3,633638.5,55523,56.1,659635.6,48853,56.7,685219.3,41094,57.2,707148.2,38404,57.4,731101.6,,,742390.9,,
